journal,SJR
chiropractic and manual therapies,"0,624"
clinical and experimental optometry,"0,624"
electronic communications in probability,"0,624"
european endodontic journal,"0,624"
evolutionary biology,"0,624"
immunological investigations,"0,624"
journal of drugs in dermatology,"0,624"
journal of holography applications in physics,"0,624"
journal of materials research,"0,624"
journal of pediatric health care,"0,624"
journal of physics condensed matter,"0,624"
journal of political marketing,"0,624"
journal of sustainable metallurgy,"0,624"
journal of thoracic disease,"0,624"
medical and veterinary entomology,"0,624"
policy futures in education,"0,624"
rivista di storia economica,"0,624"
social network analysis and mining,"0,624"
academic psychiatry,"0,623"
adicciones,"0,623"
aging male,"0,623"
applied adhesion science,"0,623"
computational particle mechanics,"0,623"
drug testing and analysis,"0,623"
hellenic journal of cardiology,"0,623"
international journal for numerical methods in fluids,"0,623"
international journal of corpus linguistics,"0,623"
international journal of inflammation,"0,623"
iranian journal of psychiatry,"0,623"
journal of productivity analysis,"0,623"
portal,"0,623"
zoosystematica rossica,"0,623"
acta odontologica scandinavica,"0,622"
argument and computation,"0,622"
arthroscopy techniques,"0,622"
australian journal of grape and wine research,"0,622"
clinical psychologist,"0,622"
clinical radiology,"0,622"
data and policy,"0,622"
digestive surgery,"0,622"
frontiers in computational neuroscience,"0,622"
human nutrition and metabolism,"0,622"
ima journal of management mathematics,"0,622"
international journal of psychiatry in medicine,"0,622"
journal of humanistic psychology,"0,622"
journal of plant research,"0,622"
pediatric cardiology,"0,622"
plant ecology and diversity,"0,622"
transactions in gis,"0,622"
acm transactions on reconfigurable technology and systems,"0,621"
administrative theory and praxis,"0,621"
aerosol and air quality research,"0,621"
animal sentience,"0,621"
asian transport studies,"0,621"
canadian journal of forest research,"0,621"
"comparative immunology, microbiology and infectious diseases","0,621"
current microbiology,"0,621"
ecology of freshwater fish,"0,621"
es materials and manufacturing,"0,621"
european journal of social security,"0,621"
international journal of material forming,"0,621"
international journal of strategic communication,"0,621"
journal of food process engineering,"0,621"
journal of inorganic biochemistry,"0,621"
journal of membrane computing,"0,621"
journal of space safety engineering,"0,621"
polymer journal,"0,621"
psychosis,"0,621"
rivista italiana di paleontologia e stratigrafia,"0,621"
scandinavian journal of pain,"0,621"
slovenski jezik,"0,621"
tissue engineering - part c,"0,621"
virtual reality and intelligent hardware,"0,621"
3 biotech,"0,620"
african archaeological review,"0,620"
annals of agricultural sciences,"0,620"
bulletin of geosciences,"0,620"
conservation genetics,"0,620"
domestic animal endocrinology,"0,620"
"energy sources, part b","0,620"
engineering optimization,"0,620"
environmental and molecular mutagenesis,"0,620"
iet quantum communication,"0,620"
"journal of biomaterials science, polymer edition","0,620"
journal of medical microbiology,"0,620"
meitan kexue jishu/coal science and technology,"0,620"
norma,"0,620"
physical review accelerators and beams,"0,620"
plant pathology journal,"0,620"
progress in geography,"0,620"
small enterprise research,"0,620"
steroids,"0,620"
annals of global analysis and geometry,"0,619"
experimental heat transfer,"0,619"
flexible and printed electronics,"0,619"
howard journal of crime and justice,"0,619"
journal for specialists in pediatric nursing,"0,619"
journal of child and adolescent psychopharmacology,"0,619"
journal of liposome research,"0,619"
parks,"0,619"
photochemistry and photobiology,"0,619"
plant-environment interactions,"0,619"
social and legal studies,"0,619"
urogynecology,"0,619"
acm/ieee international conference on human-robot interaction,"0,618"
advances in applied mathematics and mechanics,"0,618"
chemosensors,"0,618"
comparative biochemistry and physiology -part a,"0,618"
croatian journal of forest engineering,"0,618"
current sports medicine reports,"0,618"
east asian archives of psychiatry,"0,618"
frontiers in neurorobotics,"0,618"
health care science,"0,618"
international journal of biostatistics,"0,618"
international journal of entrepreneurship and innovation,"0,618"
international journal of mathematics,"0,618"
international journal of obstetric anesthesia,"0,618"
international microbiology,"0,618"
i-perception,"0,618"
journal of agribusiness in developing and emerging economies,"0,618"
journal of analytical atomic spectrometry,"0,618"
journal of public economic theory,"0,618"
qualitative social work,"0,618"
radiology and oncology,"0,618"
urban science,"0,618"
aids care - psychological and socio-medical aspects of aids/hiv,"0,617"
analyst,"0,617"
anthropology and medicine,"0,617"
clinica y salud,"0,617"
food additives and contaminants,"0,617"
immuno,"0,617"
journal of human capital,"0,617"
managerial and decision economics,"0,617"
neurologia i neurochirurgia polska,"0,617"
palaeontologia electronica,"0,617"
place branding and public diplomacy,"0,617"
applied economics,"0,616"
asian journal of criminology,"0,616"
biotechnology and bioprocess engineering,"0,616"
bmc genomic data,"0,616"
bmc proceedings,"0,616"
cochlear implants international,"0,616"
ecological research,"0,616"
international review of research in open and distributed learning,"0,616"
journal of automated reasoning,"0,616"
journal of facilities management,"0,616"
journal of forensic sciences,"0,616"
journal of geometry and physics,"0,616"
journal of international development,"0,616"
journal of the intensive care society,"0,616"
"leibniz international proceedings in informatics, lipics","0,616"
magnetic resonance,"0,616"
meteorology and atmospheric physics,"0,616"
methodological innovations,"0,616"
wetlands,"0,616"
advances in urology,"0,615"
american family physician,"0,615"
archaeometry,"0,615"
bioinspiration and biomimetics,"0,615"
bja open,"0,615"
clinical respiratory journal,"0,615"
corrosion reviews,"0,615"
electronics,"0,615"
international journal of circumpolar health,"0,615"
journal of applied research in higher education,"0,615"
journal of mountain science,"0,615"
journal of public affairs,"0,615"
mathematics and mechanics of solids,"0,615"
archaeological dialogues,"0,614"
canadian journal of earth sciences,"0,614"
canadian journal of remote sensing,"0,614"
comptes rendus mathematique,"0,614"
experimental animals,"0,614"
geriatric orthopaedic surgery and rehabilitation,"0,614"
human movement science,"0,614"
international journal of speech-language pathology,"0,614"
journal of fish diseases,"0,614"
journal of writing research,"0,614"
materials,"0,614"
psychiatry research communications,"0,614"
social sciences and humanities open,"0,614"
social service review,"0,614"
acm transactions on accessible computing,"0,613"
advances in redox research,"0,613"
archaeological research in asia,"0,613"
archives of endocrinology and metabolism,"0,613"
cardiology journal,"0,613"
cardiovascular revascularization medicine,"0,613"
clinical biochemistry,"0,613"
computational journal of mathematical and statistical sciences,"0,613"
criminal justice studies,"0,613"
developmental neuropsychology,"0,613"
international review on public and nonprofit marketing,"0,613"
japan journal of nursing science,"0,613"
japanese journal of clinical oncology,"0,613"
"jognn - journal of obstetric, gynecologic, and neonatal nursing","0,613"
journal of behavioral finance,"0,613"
journal of enterprising communities,"0,613"
journal of sport and tourism,"0,613"
nationalities papers,"0,613"
quality and reliability engineering international,"0,613"
saudi journal of gastroenterology,"0,613"
translational neuroscience,"0,613"
wood science and technology,"0,613"
acta neurologica belgica,"0,612"
advanced theory and simulations,"0,612"
clinics,"0,612"
interdisciplinary sciences - computational life sciences,"0,612"
international journal of laboratory hematology,"0,612"
journal of information and telecommunication,"0,612"
journal of loss and trauma,"0,612"
roeper review,"0,612"
smart health,"0,612"
zeitschrift fur analysis und ihre anwendungen,"0,612"
antimicrobial stewardship and healthcare epidemiology,"0,611"
brain tumor pathology,"0,611"
current pharmaceutical design,"0,611"
european journal of probation,"0,611"
european neurology,"0,611"
geodesy and geodynamics,"0,611"
ieee power electronics magazine,"0,611"
jmir perioperative medicine,"0,611"
journal of bone metabolism,"0,611"
journal of cardiovascular nursing,"0,611"
journal of the american academy of religion,"0,611"
medical and biological engineering and computing,"0,611"
molecular genetics and genomic medicine,"0,611"
reproductive biology,"0,611"
study abroad research in second language acquisition and international education,"0,611"
advances in theoretical and mathematical physics,"0,610"
biochemistry and cell biology,"0,610"
clinical epidemiology and global health,"0,610"
current topics in medicinal chemistry,"0,610"
dependence modeling,"0,610"
indian journal of medical research,"0,610"
informatica,"0,610"
integrative conservation,"0,610"
international journal of environmental health research,"0,610"
irish political studies,"0,610"
journal of biomedical research,"0,610"
journal of maps,"0,610"
journal of nuclear science and technology,"0,610"
marriage and family review,"0,610"
microcirculation,"0,610"
australian journal of primary health,"0,609"
citizen science,"0,609"
evolutionary intelligence,"0,609"
frontiers in chemical engineering,"0,609"
global crime,"0,609"
international journal of chinese education,"0,609"
journal of entrepreneurship,"0,609"
journal of european competition law and practice,"0,609"
journal of interactive media in education,"0,609"
